tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
1,Jason,TEACHER,University of California Berkeley,1072,Naval Science,good,Valadao,1310401,PROFESSOR,,4.0
8,Natalia,TEACHER,University of California Berkeley,1072,Spanish,good,Valencia,892604,PROFESSOR,,3.9
3,Silvia,TEACHER,University of California Berkeley,1072,Italian,good,Valisa,803843,PROFESSOR,,3.7
1,Avy,TEACHER,University of California Berkeley,1072,Italian,good,Valladares,1397221,PROFESSOR,,4.0
9,Manuel,TEACHER,University of California Berkeley,1072,Sociology,good,Vallee,1321354,PROFESSOR,,3.7
3,Karl,TEACHER,University of California Berkeley,1072,Nuclear Engineering,good,Van Bibber,1795010,PROFESSOR,A,4.3
0,Deryk,TEACHER,University of California Berkeley,1072,Public Health,zero,Van Brunt,1670888,PROFESSOR,,N/A
28,Leo,TEACHER,University of California Berkeley,1072,Philosophy,good,Van Munching,483416,PROFESSOR,,4.5
12,Kate,TEACHER,University of California Berkeley,1072,Music,good,Van Orden,222881,PROFESSOR,,4.4
8,Yasmine,TEACHER,University of California Berkeley,1072,Art History,good,Van Pee,1613282,PROFESSOR,,4.4
2,Richard,TEACHER,University of California Berkeley,1072,Optometry,good,Van Sluyters,1279543,PROFESSOR,,5.0
1,Stacy,TEACHER,University of California Berkeley,1072,Asian Studies,average,Van Vleet,2217279,PROFESSOR,,3.0
10,Russel,TEACHER,University of California Berkeley,1072,Biology,good,Vance,1094484,PROFESSOR,,4.7
6,Michael,TEACHER,University of California Berkeley,1072,Mathematics,good,Vanvalkenburgh,1523824,PROFESSOR,,4.9
9,Pravin,TEACHER,University of California Berkeley,1072,Engineering,poor,Varaiya,471853,PROFESSOR,,2.1
7,Manuel,TEACHER,University of California Berkeley,1072,Philosophy,average,Vargas,650584,PROFESSOR,,3.3
4,Evan,TEACHER,University of California Berkeley,1072,Civil Engineering,good,Variano,1235230,PROFESSOR,,4.5
8,Paula,TEACHER,University of California Berkeley,1072,Chinese,good,Varsano,835149,PROFESSOR,,4.4
